"difficulty","question","metric","dimension"
"L1","What is the POA BILLED total for 2024-10?","POA BILLED","N/A"
"L1","What is the POA BILLED Qty for December 2024?","POA BILLED","TOTAL"
"L1","What is the POA BILLED M/M Growth % for 2025-10?","POA BILLED M/M Growth %","N/A"
"L1","What is the POA Q/Q Growth % for Q2 2024?","POA Q/Q Growth %","N/A"
"L1","What is the POA Year-over-Year Growth % for December 2024?","POA Y/Y Growth %","N/A"
"L1","What is the total sales for 2024-10?","Total Sales","N/A"
"L1","What is the total POA billed in 2024-08?","POA BILLED","N/A"
"L1","What is the total booking quantity for 2024-08?","total_qty","N/A"
"L1","What is the total billed quantity for 2024-06?","total_qty","N/A"
"L1","What is the total cost for 2025-06?","TOTAL_COST","N/A"
"L1","What is the Gross Profit (GP) for 2024-06?","Gross Profit (GP)","N/A"
"L1","What is the Gross Margin % for 2024-12?","Gross Margin % (GM%)","N/A"
"L1","What is the Gross Margin % (GM%) for 2024-12?","Gross Margin % (GM%)","N/A"
"L1","What is the Average Selling Price (ASP) for December 2024 across all products?","Average Selling Price (ASP)","All products"
"L1","What is the MoM % for 2024-12?","MoM %","N/A"
"L1","What is the POA Q/Q Growth % for Q3 2024?","POA Q/Q Growth %","N/A"
"L1","What is the POA BILLED YoY Growth % for 2024 (vs 2023)?","POA BILLED YoY Growth %","N/A"
"L1","What is the POA BILLED M/M Growth % for 2024-12?","POA BILLED M/M Growth %","2024-12"
"L1","What was the POA QoQ Growth % for Q2 2024?","POA QoQ Growth %","N/A"
"L1","What is the YoY growth percentage for POA BILLED in 2024 (vs 2023)?","YoY Growth %","N/A"
"L1","What is the POA BACKLOG for 2024-09?","POA BACKLOG","N/A"
"L1","What is the POA BACKLOG Qty for 2024-12?","POA BACKLOG Qty","N/A"
"L1","What is the POA BOOKED total for 2024-12?","POA BOOKED","N/A"
"L1","What is the POA BOOKED Qty for 2024-12?","POA BOOKED Qty","N/A"
"L1","What is the POA BOOKED M/M Growth % for 2024-12?","POA BOOKED M/M Growth %","N/A"
"L1","What is the POA Q/Q Growth % for Q2 2024?","POA Q/Q Growth %","N/A"
"L1","What is the POA BOOKED Y/Y Growth % for Calendar Year 2024 (vs 2023)?","POA BOOKED Y/Y Growth %","Time: Calendar Year"
"L1","What is the Total Booked for 2025-08?","Total Booked","N/A"
"L1","What is the Total Booked Qty for 2024-12?","Total Booked Qty","N/A"
"L1","What is the POA OTR for 2025-08?","POA OTR","N/A"
"L1","What is the POA OTR Qty for 2025-08?","POA OTR Qty","N/A"
"L1","What is the Total OTR for 2024-08?","Total OTR","N/A"
"L1","What is the Total OTR Qty for 2024-08?","Total OTR Qty","N/A"
"L1","What is the BB Ratio for 2024-12?","BB Ratio","N/A"
"L1","What is the POA BB Qty Ratio for 2024-12 on a MoM basis (vs 2024-11)?","BB Ratio","N/A"
"L1","What is the BB Ratio for 2024-08?","BB Ratio","N/A"
"L1","What is the BB Ratio for 2024-08?","BB Ratio","N/A"
