"difficulty","question","metric","dimension","expected_answer"
"L1","What is the POA BILLED total for 2024-10?","POA BILLED","N/A","### POA Billed Total (2024-10)
**Answer**: USD 3,457,210.56

**Scope / Confidence**
- Includes all SHIPMENT records for 2024-10
- **Data status**: Month-end closed

**Context (optional)**
- This is a single-period snapshot of POA billed revenue for October 2024.

Would you like a breakdown by region or by brand, or a YoY comparison to 2023-10?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS poa_billed_total
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-10'
    AND order_type = 'SHIPMENT';

- **Filters Applied**: year_month = '2024-10'; order_type = 'SHIPMENT'
- **Time Range**: 2024-10
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED Qty for December 2024?","POA BILLED","TOTAL","### POA Billed Qty (December 2024)
**Answer**: 58,320 units

**Scope / Confidence**
- Includes all POA Billing shipments for December 2024 (SHIPMENT order_type), across all customers and regions
- **Data status**: Month-end closed

**Context (optional)**
- This is the billed quantity captured in the standard POA billing table for December 2024.

Would you like this broken down by region (ru) or by product group (pbg/pbu)?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT year_month, SUM(total_qty) AS billed_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-12'
    AND order_type = 'SHIPMENT'
  GROUP BY year_month;

- **Filters Applied**: year_month = '2024-12'; order_type = 'SHIPMENT'
- **Time Range**: 2024-12 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED M/M Growth % for 2025-10?","POA BILLED M/M Growth %","N/A","### POA Billed M/M Growth % (2025-10)
**Answer**: 13.91%

**Scope / Confidence**
- Includes POA Billing shipments (order_type = 'SHIPMENT') for 2025-10
- Data in USD; single-period snapshot with MoM comparison
- **Data status**: Month-end closed

**Context (optional)**
- MoM growth driven by higher POA shipments in 2025-10 vs 2025-09. Delta in billing value: +$1,530,000. Growth: +13.91%.

Would you like this broken down by region or customer segment?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
WITH curr AS (
  SELECT SUM(total_sales) AS curr_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-10'
    AND order_type = 'SHIPMENT'
),
prior AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-09'
    AND order_type = 'SHIPMENT'
)
SELECT (curr.curr_sales - prior.prior_sales) AS delta_sales,
       (curr.curr_sales / NULLIF(prior.prior_sales, 0) - 1) AS growth_pct
FROM curr CROSS JOIN prior;

- **Filters Applied**: year_month in ('2025-10', '2025-09'); order_type = 'SHIPMENT'
- **Time Range**: 2025-09 to 2025-10
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA Q/Q Growth % for Q2 2024?","POA Q/Q Growth %","N/A","### POA QoQ Growth (Q2 2024)
**Answer**: 10.00%

**Scope / Confidence**
- Includes Billing SHIPMENT data only (default POA scope) for Q2 2024 vs Q1 2024
- **Data status**: Month-end closed

**Context (optional)**
- QoQ growth for Q2 2024 (SHIPMENT only) shows a USD 4,000,000 increase from Q1 2024, representing a 10.00% growth versus Q1 2024.

[Would you like a breakdown by region or product family to see which areas drove the growth?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
WITH Curr AS (
  SELECT SUM(total_sales) AS curr_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month IN ('2024-04','2024-05','2024-06')
    AND order_type = 'SHIPMENT'
),
Prior AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month IN ('2024-01','2024-02','2024-03')
    AND order_type = 'SHIPMENT'
)
SELECT Curr.curr_sales, Prior.prior_sales,
       (Curr.curr_sales - Prior.prior_sales) AS delta_sales,
       (CASE WHEN Prior.prior_sales = 0 THEN NULL ELSE (Curr.curr_sales - Prior.prior_sales) / Prior.prior_sales * 100.0 END) AS growth_pct
FROM Curr CROSS JOIN Prior;
```
- **Filters Applied**: 
  - year_month: Q2 2024 ('2024-04','2024-05','2024-06') and Prior Q1 2024 ('2024-01','2024-02','2024-03')
  - order_type: 'SHIPMENT'
- **Time Range**: Q2 2024 vs Q1 2024
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA Year-over-Year Growth % for December 2024?","POA Y/Y Growth %","N/A","### POA YoY Growth (December 2024)
**Answer**: USD 11,500,000.00

**Scope / Confidence**
- Includes all SHIPMENT (Billing) records for December 2024 and December 2023
- **Data status**: Month-end closed

**Context (optional)**
- YoY growth computed on Billing totals by default. If you intended Booking (POA) values, please include the word Booking or BOOK in your query and I will switch the data source accordingly.

[Would you like a breakdown by region, customer, or product to understand the drivers of this growth?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT
      curr.curr_sales AS current_sales,
      prior.prior_sales AS prior_sales,
      (curr.curr_sales - prior.prior_sales) AS delta,
      ((curr.curr_sales - prior.prior_sales) / NULLIF(prior.prior_sales, 0)) AS yoy_growth
  FROM
      (SELECT SUM(total_sales) AS curr_sales
       FROM ods.fact_monthly_sales_poa_billing
       WHERE year_month = '2024-12'
         AND order_type = 'SHIPMENT') AS curr
  CROSS JOIN
      (SELECT SUM(total_sales) AS prior_sales
       FROM ods.fact_monthly_sales_poa_billing
       WHERE year_month = '2023-12'
         AND order_type = 'SHIPMENT') AS prior;

- **Filters Applied**: year_month in ('2024-12', '2023-12'), order_type = 'SHIPMENT'
- **Time Range**: 2023-12 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total sales for 2024-10?","Total Sales","N/A","### Total Sales (2024-10)
**Answer**: USD 4,567,890.12

**Scope / Confidence**
- Includes all shipments (SHIPMENT) for 2024-10 across all brands and regions
- **Data status**: Month-end data available and settled

**Context (optional)**
- This is a single-period snapshot of total gross sales for October 2024. No period-over-period comparison included because no change/trend request was stated.

[Would you like a breakdown by brand, region, or customer, or a comparison to 2024-09 or 2023-10?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-10'
    AND order_type = 'SHIPMENT';

- **Filters Applied**: year_month = '2024-10'; order_type = 'SHIPMENT'

- **Time Range**: 2024-10

- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total POA billed in 2024-08?","POA BILLED","N/A","### POA Billing Total Sales (2024-08)
**Answer**: USD 1,234,567.89

**Scope / Confidence**
- Includes all POA Billing shipments for 2024-08
- **Data status**: Month-end closed

**Context (optional)**
- Single-period snapshot of POA billed sales for August 2024. No prior-period comparison.

Would you like a breakdown by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS poa_billed_total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-08'
    AND order_type = 'SHIPMENT';

- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total booking quantity for 2024-08?","total_qty","N/A","### Booking Quantity (2024-08)
**Answer**: 128,745 units

**Scope / Confidence**
- Includes all Booking data for 2024-08
- **Data status**: Month-end closed

**Context (optional)**
- Booking quantity reflects pipeline/confirmed order quantities recorded for August 2024.

Would you like this broken down by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_qty) AS booking_total_qty
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-08';

- **Filters Applied**: year_month = '2024-08'

- **Time Range**: 2024-08 to 2024-08

- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the total billed quantity for 2024-06?","total_qty","N/A","### Total Billed Quantity (2024-06)
**Answer**: 1,254,312 units

**Scope / Confidence**
- Includes all SHIPMENT (Billing) records for 2024-06
- **Data status**: Month-end closed

**Context (optional)**
- Represents the total quantity billed for shipments in June 2024 across all customers/regions. Non-shipment types are excluded.

Would you like a breakdown by region (ru) or by product hierarchy (pbg/pbu)?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_qty) AS total_billed_qty
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-06'
  AND order_type = 'SHIPMENT';
```

- **Filters Applied**: year_month = '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-06 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total cost for 2025-06?","TOTAL_COST","N/A","### Total Cost (2025-06)
**Answer**: USD 2,345,678.90

**Scope / Confidence**
- Dimension coverage: All brands and regions (SHIPMENT) for 2025-06
- **Data status**: Month-end closed

**Context (optional)**
- This is a single-period snapshot of Billing Shipments. If you want YoY, MoM, or breakdowns by region/brand, I can provide them.

Would you like a breakdown by region or product, or a YoY/MoM trend report?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_cost) AS total_cost
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-06'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2025-06'; order_type = 'SHIPMENT'
- **Time Range**: 2025-06 to 2025-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
