"difficulty","question","metric","dimension"
"L1","What is the POA BILLED for 2024-11?","POA BILLED","N/A"
"L1","What is the POA BILLED Qty for 2024-12?","POA BILLED Qty","N/A"
"L1","What is the POA M/M Growth % for 2024-12?","POA M/M Growth %","N/A"
"L1","What was the POA QoQ Growth % for Q2 2024?","POA QoQ Growth %","N/A"
"L1","What is the POA Y/Y Growth % for 2024-12?","POA Y/Y Growth %","N/A"
"L1","What were the total sales in August 2024?","total_sales","N/A"
"L1","What is the total billed for 2024-08?","Total Billed","N/A"
"L1","What is the total quantity for 2024-12?","Total Qty","N/A"
"L1","What is the total billed quantity for 2024-12?","TOTAL_BILLED_QTY","N/A"
"L1","What is the total cost for 2024-08?","Total Cost","N/A"
